Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/CH4N20emissions_annualversion.xls in N2Oannual Tab Units of MtN2O,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2134,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2135,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2136,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2137,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2138,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2139,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2140,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2141,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2142,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2143,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2144,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2145,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2146,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2147,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2148,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2149,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2150,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2151,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2152,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2153,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2154,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2155,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2156,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2157,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2158,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2159,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2160,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2161,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2162,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2163,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2164,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2165,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2166,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2167,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2168,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2169,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2170,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2171,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2172,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2173,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
2174,6.651611676,8.772917595,9.47007923,10.58207841,7.389180172
