Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/CH4N20emissions_annualversion.xls in CH4annual Tab Units of MtCH4,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2262,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2263,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2264,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2265,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2266,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2267,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2268,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2269,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2270,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2271,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2272,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2273,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2274,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2275,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2276,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2277,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2278,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2279,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2280,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2281,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2282,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2283,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2284,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2285,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2286,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2287,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2288,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2289,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2290,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2291,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2292,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2293,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2294,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2295,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2296,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2297,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2298,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2299,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2300,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
